Chapter,Number of Duas,Arabic,Transliteration,Translation,Reference
Chapter 7: After leaving the bathroom,1 du'as,غُفْـرانَك,Ghufrānaka,I seek Your forgiveness.,"Reference:Abu Dawud, Ibn Majah and At-Tirmidhi. An-Nasa'i recorded it in 'Amalul-Yawm wal-Laylah. Also see the checking of Ibn Al-Qayyim's Zadul-Ma'ad, 2/387.Hisnul Muslim 11"
Chapter 8: Before ablution,1 du'as,بِسْمِ الله,Bismillāhi,In the Name of Allah,"Reference:Abu Dawud, Ibn Majah, and Ahmad. See also Al-Albani, 'Irwa'ul-Ghain 1/122.Hisnul Muslim 12"
Chapter 9: Upon completing the ablution,3 du'as,أَشْهَدُ أَنْ لا إِلَـهَ إِلاّ اللهُ وَحْدَهُ لا شَريـكَ لَـهُ وَأَشْهَدُأَنَّ مُحَمّـداً عَبْـدُهُ وَرَسـولُـه,Ash-hadu 'an lā 'ilāha 'illallāhuwaḥdahu lā sharīka lahuwa 'ash-hadu 'anna Muḥammadan `abduhu wa Rasūluhu.,"I bear witness that none has the right to be worshipped but Allah alone, Who has no partner; and I bear witness that Muhammad is His slave and His Messenger.",Reference:Muslim 1/209.Hisnul Muslim 13
Uncategorized,N/A,اللّهُـمَّ اجْعَلنـي مِنَ التَّـوّابينَ وَاجْعَـلْني مِنَ المتَطَهّـرين.,Allāhummaj`alnī minat-tawwābīnawaj`alnī minal-mutaṭahhirīn.,"O Allah, make me among those who turn to You in repentance, and make me among those who are purified.","Reference:At-Tirmidhi 1/78. See also Al-Albani, Sahih At- Tirmidhi 1/18Hisnul Muslim 14"
Uncategorized,N/A,سُبْحـانَكَ اللّهُـمَّ وَبِحَمدِك أَشْهَـدُ أَنْ لا إِلهَ إِلاّ أَنْتَ أَسْتَغْفِرُكَ وَأَتوبُ إِلَـيْك,"Subḥānaka Allāhumma wa biḥamdika,'ash-hadu 'an lā 'ilāha 'illā 'Anta,'astaghfiruka wa 'atūbu 'ilayk.","Glory is to You, O Allah, and praise; I bear witness that there is noneworthy of worship but You. I seek Your forgiveness and turn to You inrepentance.","Reference:An-Nasa'i, 'Amalul-Yawm wal-Laylah, p. 173. See also Al-Albani, 'Irwa'ul-Ghalil 1/135 and 2/94.Hisnul Muslim 15"
Chapter 10: Remembrance when leaving the home,2 du'as,بِسْمِ اللهِ  تَوَكَّلْـتُ عَلى اللهِ وَلا حَوْلَ وَلا قُـوَّةَ إِلاّ بِالله,"Bismillāhi, tawakkaltu `alallāhi. wa lā ḥawla wa lā quwwata illā billāh.","In the Name of Allah, I have placed my trust in Allah, there is no might and no power except by Allah.","Reference:Abu Dawud 4/325, At-Tirmidhi 5/490. See also Al-Albani, Sahih At-Tirmidhi 3/151Hisnul Muslim 16"
Uncategorized,N/A,اللّهُـمَّ إِنِّـي أَعـوذُ بِكَ أَنْ أَضِـلَّ أَوْ أُضَـل  أَوْ أَزِلَّ أَوْ أُزَل  أَوْ أَظْلِـمَ أَوْ أَُظْلَـم  أَوْ أَجْهَلَ أَوْ يُـجْهَلَ عَلَـيّ,"Allāhumma 'innī 'a`ūdhu bika'an 'aḍilla, 'aw 'uḍalla,'aw 'azilla, 'aw 'uzalla,'aw 'aẓlima, 'aw 'uẓlama,'aw 'ajhala 'aw yujhala `alayya.","O Allah, I seek refuge in You lest I misguide others, or I am misguided byothers, lest I cause others to err or I am caused to err, lest I abuse others or be abused, and lest I behave foolishly or meet with the foolishness of others.","Reference:Abu Dawud, Ibn Majah, An-Nasa'i, At-Tirmidhi. See also Al-Albani, Sahih At-Tirmidhi 3/152 and Sahih Ibn Majah 2/336Hisnul Muslim 17"
Chapter 11: Remembrance upon entering the home,1 du'as,بِسْـمِ اللهِ وَلَجْنـا وَبِسْـمِ اللهِ خَـرَجْنـا وَعَلـى رَبِّنـا تَوَكّلْـن (ثم ليسلم على أهله.),Bismillāhi walajnā. wa bismillāhi kharajnā. wa `ala Rabbinā tawakkalnā,"In the Name of Allah we enter, in the Name of Allah we leave, and upon our Lord we depend [then say As-Salāmu `Alaykum to those present].","Reference:Abu Dawud 4/325. Muslim {Hadith no. 2018) says that one should mention the Name of Allah when entering the home and when beginning to eat; and that the devil, hearing this, says: ""There is no shelter for us here tonight and no food.""Hisnul Muslim 18"
Chapter 12: When going to the mosque,1 du'as,"اللّهُـمَّ اجْعَـلْ فِي قَلْبـي نُوراً  وَفي لِسَـانِي نُوراً وَفِي سَمْعِي نُوراً, وَفِي بَصَرِيِ نُوراً, وَمِنْ فََوْقِي نُوراً , وَ مِنْ تَحْتِي نُوراً, وَ عَنْ يَمِينيِ نُوراَ, وعَنْ شِمَالِي نُوراً, وَمْن أَماَمِي نُوراً, وَمِنْ خَلْفيِ نُوراَ, واجْعَلْ فِي نَفْسِي نُوراً, وأَعْظِمْ لِي نُوراً, وَعظِّمْ لِي نُوراً, وَاجْعَلْ لِي نُوراً, واجْعَلنِي نُوراً, أللَّهُمَّ أَعْطِنِي نُوراً, واجْعَلْ فِي عَصَبِي نُوراً, وَفِي لَحْمِي نُوراً, وَفِي دَمِي نُوراً وَفِي شَعْرِي نُوراً, وفِي بَشَرِي نُوراً (أَللَّهُمَّ اجِعَلْ لِي نُوراً فِي قّبْرِي وَ نُوراَ فِي عِظاَمِي) (وَزِدْنِي نُوراً, وَزِدْنِي نُوراَ , وَزِدْنِي نُوراً) (وَهَبْ لِي نُوراً عَلَى نُوراً)",Allāhummaj'al fī qalbī nūran. wa fī lisānī nūran. wa fī sam`ī nūran. wa fī baṣarī nūran. wa min fawqī nūran. wa min taḥtī nūran. wa `an yamīnī nūran. wa `an shimālī nūran. wa min 'amāmī nūran. wa min khalfī nūran. waj`al fī nafsī nūran. wa 'a`ẓim lī nūran. wa `ẓẓim lī nūran. waj`allī nūran. waj`alnī nūran. Allāhumma 'a`tinī nūran. waj'al fī `aṣabī nūran. wa fī laḥmī nūran. wa fī damī nūran. wa fī sha`rī nūran. wa fī basharī nūran.[Allāhummaj`allī nūran fī qabrīwa nūran fī `iẓāmī.][Wa zidnī nūran. wa zidnī nūran. wa zidnī nūran.][Wa hab lī nūran `alā nūr.],"O Allah, place light in my heart, and on my tongue light, and in my ears light and in my sight light, and above me light, and below me light, and to my right light, and to my left light, and before me light and behind me light. Place in my soul light. Magnify for me light, and amplify for me light. Make for me light and make me a light. O Allah, grant me light, and place light in my nerves, and in my body light and in my blood light and in my hair light and in my skin light.1 [O Allah, make for me a light in my grave... and a light in my bones.] (At-Tirmidhi 5/483 (Hadith no. 3419).) [Increase me in light, increase me in light, increase me in light.] (Al-Bukhari in Al-'Adab Al-Mufrad (Hadith no. 695), p. 258. See also Al-Albani, Sahih Al-'Adab Al-Mufrad (no. 536).) [Grant me light upon light.](Al-Bukhari, cf. Al-Asqalani, Fathul-Bari 11/118.)","Reference:1 Up to this point was reported by Al-Bukhari 11 / 116 (Hadith no. 6316) and by Muslim 1/526, 529-530 (Hadithno. 763).Hisnul Muslim 19"
Chapter 13: Upon entering the mosque,1 du'as,أَعوذُ باللهِ العَظيـم وَبِوَجْهِـهِ الكَرِيـم وَسُلْطـانِه القَديـم مِنَ الشّيْـطانِ الرَّجـيم [ بِسْـمِ الله وَالصَّلاةُ وَالسَّلامُ عَلى رَسولِ الله] اللّهُـمَّ افْتَـحْ لي أَبْوابَ رَحْمَتـِك,"A`ūdhu billāhi l-`aẓīm. wa bi-wajhihil-karīm. wa sultānihil-qadīm. min ash-shaytānir-rajīm.[Bismillāhi, wassalātu wassalāmu `alā rasūlillāhi.] Allāhummaftaḥ lī 'abwāba raḥmatik.","I seek refuge in Almighty Allah, By His Noble Face, By His primordial power, From Satan the outcast.1 [In the Name of Allah, and blessings2 and peace be upon the Messenger of Allah.3 O Allah, open before me the doors of Your mercy.4","Reference:1. Abu Dawud and Al-Albani, Sahihul-Jdmi' As-Saghir (Hadithno. 4591). 2. Ibn As-Sunni (Hadith no. 88), graded good by Al-Albani. 3. Abu Dawud 1/126, see also Al-Albani, Sahihul-Jami'As-Saghir 1/528. 4. Muslim 1/494. There is also a report in Sunan Ibn Majah on the authority of Fatimah (RA), : ""O Allah, forgive me my sins and open for me the doors of Your mercy."" It was graded authentic by Al-Albani due to supporting Ahadith. See Sahih Ibn Majah 1/128-9.Hisnul Muslim 20"
Chapter 14: Upon leaving the mosque,1 du'as,بِسمِ الله وَالصّلاةُ وَالسّلامُ عَلى رَسولِ الله اللّهُـمَّ إِنّـي أَسْأَلُكَ مِـنْ فَضْـلِك اللّهُـمَّ اعصِمْنـي مِنَ الشَّيْـطانِ الرَّجـيم,Bismillāhi waṣṣalātu wassalāmu 'alā Rasūlillāhi. Allāhumma 'innī 'as'aluka min faḍlika. Allāhumma`ṣimnī min ash-shaytānir-rajīm.,"In the Name of Allah, and peace and blessings be upon the Messenger of Allah. O Allah, I ask for Your favor, O Allah, protect me from Satan the outcast.",Reference:ibid.Hisnul Muslim 21
Chapter 15: Concerning the athan (the call to prayer),3 du'as,لا حول ولا قوة إلا بالله.,Lā ḥawla wa lā quwwata 'illā billāh.,There is no might and no power except by Allah.,"Reference:Al-Bukhari 1/152, Muslim 1/288.Hisnul Muslim 22"
Uncategorized,N/A,وَأَنا أَشْـهَدُ أَنْ لا إِلـهَ إِلاّ اللهُ وَحْـدَهُ لا شَـريكَ لَـه  وَأَنَّ محَمّـداً عَبْـدُهُ وَرَسـولُه رَضيـتُ بِاللهِ رَبَّاً  وَبِمُحَمَّـدٍ رَسـولاً وَبِالإِسْلامِ دينَـاً,Wa 'anā 'ash-hadu 'an lā 'ilāha 'illallāhuwaḥdahu lā sharīka lahuwa 'anna Muḥammadan 'abduhu wa rasūluhu. raḍītu billāhi rabban. wa bi Muḥammadin rasūlanwa bi 'l-islāmi dīnan.,"I bear witness that none has the right to be worshipped but Allah alone, Who has no partner, and that Muhammad is His slave and His Messenger. I am pleased with Allah as my Lord, with Muhammad as my Messenger and with Islam as my religion.1 [To be recited in Arabic after the mu'adh-dhin's tashahhud or the words of affirmation of Faith] 2",Reference:1. Muslim 1/290. 2. Ibn Khuzaymah 1/220.Hisnul Muslim 23
Uncategorized,recommendation du'as,يُصَلِّي عَلَى النَّبِيِّ صلى الله عليه وسلم بَعْدَ فَرَاغِهِ مِنْ إِجَابَةِ الْمُؤَذِّنِ,,,Reference:Muslim 1/288Hisnul Muslim 24
Uncategorized,N/A,اللّهُـمَّ رَبَّ هَذِهِ الدّعْـوَةِ التّـامَّة وَالصّلاةِ القَـائِمَة آتِ محَـمَّداً الوَسيـلةَ وَالْفَضـيلَة وَابْعَـثْه مَقـامـاً مَحـموداً الَّذي وَعَـدْتَه [إِنَّـكَ لا تُـخْلِفُ الميـعاد],"Allāhumma rabba hādhihi 'd-da'wati 't-tāmmahwaṣ-ṣalāti 'l-qā'imah,'āti Muhammadani 'l-wasīlata walfaḍīlata. wab 'ath-hu maqāma 'm-mahmūdani 'l-ladhī wa`adtahu, ['innaka lā tukhliful-mī'ād]","O Allah, Lord of this perfect call and established prayer. Grant Muhammad the intercession and favor, and raise him to the honored station You have promised him, [verily You do not neglect promises].","Reference:Al-Bukhari 1/152, and the addition between brackets is from Al-Bayhaqi 1/410 with a good (Hasan) chain of narration. See 'Abdul-Azlz bin Baz's Tuhfatul-'Akhyar, pg. 38.Hisnul Muslim 25"
Uncategorized,recommendation du'as,يَدْعُو لِنَفسِهِ بَيْنَ الْأَذَانِ وَالْإِقَامَةِ فَإِنَّ الدُّعَاءَ حِينَئِذٍ لاَ يُرَدُّ,,,"Reference:At-Tirmidhi, Abu Dawud, Ahmed. See Irwaa Al-Ghalil 1/262Hisnul Muslim 26"
Chapter 16: At the start of the prayer (after takbeer),6 du'as,اللّهُـمَّ باعِـدْ بَيـني وَبَيْنَ خَطـايايَ كَما باعَدْتَ بَيْنَ المَشْرِقِ وَالمَغْرِبْ  اللّهُـمَّ نَقِّنـي مِنْ خَطايايَ كَمـا يُـنَقَّى الثَّـوْبُ الأَبْيَضُ مِنَ الدَّنَسْ  اللّهُـمَّ اغْسِلْنـي مِنْ خَطايـايَ بِالثَّلـجِ وَالمـاءِ وَالْبَرَدْ.,Allāhumma bā'id baynī wa bayna khatāyāyakamā bāa'adta bayn al-mashriqi wal-maghribi. Allāhumma naqqinī min khatāyāyakamā yunaqqa 'th-thawbu 'l-'abyaḍu min ad-danasi. Allāhumma 'ghsilnī min khatāyāya. bi 'th-thalji wal-mā'i wal-barad.,"O Allah, separate me from my sins as You have separated the East from the West. O Allah, cleanse me of my transgressions as the white garment is cleansed of stains. O Allah, wash away my sins with ice and water and frost.","Reference:Al-Bukhari 1/181, Muslim 1/419.Hisnul Muslim 27"
Uncategorized,N/A,سُبْـحانَكَ اللّهُـمَّ وَبِحَمْـدِكَ وَتَبارَكَ اسْمُـكَ وَتَعـالى جَـدُّكَ وَلا إِلهَ غَيْرُك,Subhānaka Allāhumma wa biḥamdika. wa tabāraka 'smuka. wa ta'ālā jadduka. wa lā 'ilāha ghayruk.,"Glory is to You O Allah, and praise. Blessed is Your Name and Exalted is Your Majesty. There is none worthy of worship but You","Reference:Abu Dawud, Ibn Majah, An-Nasa'i, At-Tirmidhi. See Al-Albani, Sahih At-Tirmidhi 1/77 and Sahih Ibn Majah 1/135.Hisnul Muslim 28"
